tourney_date,surface,tourney_level,best_of,winner_name,loser_name,winner_id,loser_id,winner_rank,loser_rank,winner_age,winner_ht,winner_hand,loser_age,loser_ht,loser_hand,round
20250108,Hard,A,3,Felix Auger Aliassime,Arthur Cazaux,200000,209070,29,80,24.418891170431213,193.0,R,22.379192334017795,183.0,R,2nd Round
20250108,Hard,A,3,Sebastian Korda,Alejandro Davidovich Fokina,200624,200221,22,68,24.511978097193705,196.0,R,25.596167008898014,183.0,R,2nd Round
20250108,Hard,A,3,Benjamin Bonzi,Li Tu,126127,111454,70,179,28.583162217659137,183.0,R,28.618754277891856,183.0,R,2nd Round
20250108,Hard,A,3,Rinky Hijikata,Brandon Nakashima,208014,206909,79,37,23.874058863791923,178.0,R,23.433264887063654,188.0,R,2nd Round
20250108,Hard,A,3,Miomir Kecmanovic,O Connell C.,200175,-1,55,64,25.357973990417523,183.0,R,,,,2nd Round
20250108,Hard,A,3,Todd Paul,Manuel Guinard,104652,131905,12,261,39.0362765229295,180.0,L,29.149897330595483,198.0,R,2nd Round
20250108,Hard,A,3,Thanasi Kokkinakis,Tomas Martin Etcheverry,106423,144869,77,39,28.747433264887064,193.0,R,25.478439425051334,196.0,R,2nd Round
20250109,Hard,A,3,Todd Paul,Rinky Hijikata,104652,208014,12,79,39.03901437371663,180.0,L,23.876796714579054,178.0,R,Quarterfinals
20250109,Hard,A,3,Felix Auger Aliassime,Marcos Giron,200000,106218,29,45,24.421629021218344,193.0,R,31.463381245722108,180.0,R,Quarterfinals
20250109,Hard,A,3,Miomir Kecmanovic,Benjamin Bonzi,200175,126127,55,70,25.360711841204655,183.0,R,28.58590006844627,183.0,R,Quarterfinals
20250109,Hard,A,3,Zizou Bergs,Roberto Carballes Baena,200267,106148,66,59,25.60438056125941,185.0,R,31.800136892539356,183.0,R,Quarterfinals
20250109,Hard,A,3,Nuno Borges,Jakub Mensik,132686,210084,36,49,27.887748117727583,185.0,R,19.356605065023956,,U,Quarterfinals
20250109,Hard,A,3,Gael Monfils,Facundo Diaz Acosta,104792,207680,52,78,38.35728952772074,193.0,R,24.0684462696783,183.0,L,Quarterfinals
20250110,Hard,A,3,Zizou Bergs,Nuno Borges,200267,132686,66,36,25.607118412046542,185.0,R,27.890485968514717,185.0,R,Semifinals
20250110,Hard,A,3,Felix Auger Aliassime,Todd Paul,200000,104652,29,12,24.424366872005475,193.0,R,39.04175222450377,180.0,L,Semifinals
20250110,Hard,A,3,Sebastian Korda,Miomir Kecmanovic,200624,200175,22,55,24.517453798767967,196.0,R,25.363449691991786,183.0,R,Semifinals
20250110,Hard,A,3,Gael Monfils,Nishesh Basavareddy,104792,210460,52,133,38.36002737850787,193.0,R,19.693360711841205,180.0,R,Semifinals
20250111,Hard,A,3,Gael Monfils,Zizou Bergs,104792,200267,52,66,38.362765229295,193.0,R,25.609856262833677,185.0,R,The Final
20250111,Hard,A,3,Felix Auger Aliassime,Sebastian Korda,200000,200624,29,22,24.427104722792606,193.0,R,24.520191649555098,196.0,R,The Final
20250112,Hard,G,5,Tomas Machac,Sumit Nagal,207830,111576,25,91,24.249144421629023,183.0,R,27.408624229979466,178.0,R,1st Round
20250112,Hard,G,5,Jiri Lehecka,Li Tu,208103,111454,29,168,23.17864476386037,185.0,R,28.629705681040384,183.0,R,1st Round
20250112,Hard,G,5,Hady Habib,Bu Y.,200273,-1,219,67,26.39561943874059,188.0,R,,,,1st Round
20250112,Hard,G,5,Hugo Gaston,Omar Jasika,200384,117357,81,179,24.295687885010267,173.0,L,27.655030800821354,183.0,L,1st Round
20250112,Hard,G,5,Kei Nishikori,Thiago Monteiro,105453,106329,76,105,35.03901437371663,178.0,R,30.62012320328542,183.0,L,1st Round
20250112,Hard,G,5,Quentin Halys,Adam Walton,111460,200443,74,90,28.213552361396303,191.0,R,25.741273100616016,183.0,R,1st Round
20250112,Hard,G,5,Ugo Humbert,Matteo Gigante,200005,209261,14,145,26.548939082819988,188.0,L,23.02258726899384,,L,1st Round
20250112,Hard,G,5,Reilly Opelka,Gauthier Onclin,124187,206904,170,239,27.37577002053388,211.0,R,23.876796714579054,180.0,R,1st Round
20250112,Hard,G,5,Alexander Zverev,Lucas Pouille,100644,106298,2,103,27.731690622861056,198.0,R,30.885694729637233,185.0,R,1st Round
20250112,Hard,G,5,Christian Ruud,Jaume Munar,102104,144719,6,62,52.38603696098563,188.0,R,27.690622861054074,183.0,R,1st Round
20250112,Hard,G,5,Arthur Fils,Otto Virtanen,209950,202261,21,93,20.58590006844627,185.0,R,23.561943874058862,193.0,R,1st Round
20250113,Hard,G,5,James Duckworth,Dominic Stricker,105902,208502,89,304,32.98015058179329,183.0,R,22.412046543463383,183.0,L,1st Round
20250113,Hard,G,5,Nuno Borges,Alexandre Muller,132686,124186,33,58,27.89869952087611,185.0,R,27.94798083504449,183.0,R,1st Round
20250113,Hard,G,5,Fabian Marozsan,Thiago Seyboth Wild,206681,205734,59,79,25.267624914442163,193.0,R,24.84599589322382,185.0,R,1st Round
20250113,Hard,G,5,Carlos Alcaraz,Alexander Shevchenko,207989,207686,3,77,21.694729637234772,183.0,R,24.123203285420946,185.0,R,1st Round
20250113,Hard,G,5,Novak Djokovic,Nishesh Basavareddy,104925,210460,7,107,37.648186173853524,188.0,R,19.701574264202602,180.0,R,1st Round
20250113,Hard,G,5,Benjamin Bonzi,David Goffin,126127,105676,64,54,28.5968514715948,183.0,R,34.10266940451746,180.0,R,1st Round
20250113,Hard,G,5,Felix Auger Aliassime,Jan Lennard Struff,200000,105526,23,43,24.432580424366872,193.0,R,34.72142368240931,193.0,R,1st Round
20250113,Hard,G,5,Todd Paul,O Connell C.,104652,-1,11,70,39.04996577686516,180.0,L,,,,1st Round
20250113,Hard,G,5,Tristan Schoolkate,Taro Daniel,209262,106121,173,113,23.87953456536619,183.0,R,31.96167008898015,191.0,R,1st Round
20250113,Hard,G,5,Jannik Sinner,Nicolas Jarry,206173,111797,1,36,23.411362080766597,191.0,R,29.259411362080765,201.0,R,1st Round
20250113,Hard,G,5,James Thompson,Dominik Koepfer,107270,136440,27,124,,,R,30.71047227926078,180.0,L,1st Round
20250113,Hard,G,5,Frances Tiafoe,Arthur Rinderknech,126207,126239,16,61,26.981519507186857,188.0,R,29.478439425051334,196.0,R,1st Round
20250113,Hard,G,5,Roberto Carballes Baena,Alejandro Tabilo,106148,126214,57,26,31.811088295687885,183.0,R,27.616700889801507,188.0,L,1st Round
20250113,Hard,G,5,Jakub Mensik,Nikoloz Basilashvili,210084,105932,48,206,19.367556468172484,,U,32.889801505817935,185.0,R,1st Round
20250113,Hard,G,5,Jim Mccabe,Martin Landaluce,147511,211776,258,142,,,U,19.014373716632445,191.0,R,1st Round
20250113,Hard,G,5,Yoshihito Nishioka,Aziz Dougaz,106415,144826,65,231,29.297741273100616,170.0,L,27.802874743326488,188.0,L,1st Round
20250113,Hard,G,5,Aleksandar Vukic,Damir Dzumhur,126846,106000,68,82,28.772073921971252,188.0,R,32.65160848733744,175.0,R,1st Round
20250113,Hard,G,5,Thanasi Kokkinakis,Roman Safiullin,106423,126128,71,63,28.761122518822724,193.0,R,27.43600273785079,185.0,R,1st Round
20250113,Hard,G,5,Jose Maria Draper,Mariano Navone,117272,208363,18,47,,,U,23.876796714579054,178.0,R,1st Round
20250113,Hard,G,5,Jaime Faria,Pavel Kotov,210262,200303,125,97,21.440109514031484,188.0,R,26.154688569472963,191.0,R,1st Round
20250113,Hard,G,5,Sebastian Korda,Lukas Klein,200624,127760,22,144,24.525667351129364,196.0,R,26.8145106091718,193.0,R,1st Round
20250113,Hard,G,5,Arthur Cazaux,Sebastian Baez,209070,202104,78,28,22.392881587953458,183.0,R,24.043805612594113,170.0,R,1st Round
20250113,Hard,G,5,Alex Michelsen,Stefanos Tsitsipas,210506,126774,42,12,20.386036960985628,193.0,R,26.42299794661191,193.0,R,1st Round
20250114,Hard,G,5,Joshua Fonseca,Andrey Rublev,128159,126094,112,9,42.20123203285421,,U,27.236139630390145,188.0,R,1st Round
20250114,Hard,G,5,Matteo Berrettini,Cameron Norrie,126610,111815,34,52,28.758384668035593,196.0,R,29.39630390143737,188.0,L,1st Round
20250114,Hard,G,5,Karen Khachanov,Adrian Mannarino,111575,105173,19,75,28.65160848733744,198.0,R,36.544832306639286,180.0,L,1st Round
20250114,Hard,G,5,Miomir Kecmanovic,Dusan Lajovic,200175,105583,51,80,25.374401095140314,183.0,R,34.54346338124572,183.0,R,1st Round
20250114,Hard,G,5,Holger Rune,Ze Zhang,208029,105585,13,49,21.713894592744694,188.0,R,34.53251197809719,188.0,R,1st Round
20250114,Hard,G,5,Cristian Garin,Borna Coric,106426,106432,150,87,28.62696783025325,185.0,R,28.16700889801506,188.0,R,1st Round
20250114,Hard,G,5,Learner Tien,Camilo Ugo Carabelli,210530,200116,121,94,19.11841204654346,180.0,L,25.579739904175224,185.0,R,1st Round
20250114,Hard,G,5,Gabriel Diallo,Luca Nardi,209113,208134,86,83,23.307323750855577,203.0,R,21.44284736481862,185.0,R,1st Round
20250114,Hard,G,5,Gael Monfils,Mpetshi G.,104792,-1,41,30,38.3709787816564,193.0,R,,,,1st Round
20250114,Hard,G,5,Hubert Hurkacz,Tallon Griekspoor,128034,134868,17,40,27.923340177960302,196.0,R,28.536618754277892,188.0,R,1st Round
20250114,Hard,G,5,Facundo Diaz Acosta,Zizou Bergs,207680,200267,73,60,24.082135523613964,183.0,L,25.61806981519507,185.0,R,1st Round
20250114,Hard,G,5,Daniil Medvedev,Kasidit Samrej,106421,208937,5,418,28.92539356605065,198.0,R,23.983572895277206,191.0,R,1st Round
20250114,Hard,G,5,Daniel Altmaier,Francisco Comesana,127157,207681,101,85,26.340862422997947,188.0,R,24.27378507871321,178.0,R,1st Round
20250114,Hard,G,5,Lorenzo Musetti,Matteo Arnaldi,207518,208286,15,39,22.869267624914443,185.0,R,23.89322381930185,185.0,R,1st Round
20250114,Hard,G,5,Bryan Shelton,Brandon Nakashima,101214,206909,20,35,59.063655030800824,185.0,R,23.449691991786448,188.0,R,1st Round
20250114,Hard,G,5,Francisco Cerundolo,Alexander Bublik,202103,122330,31,37,26.42299794661191,185.0,R,27.578370978781656,196.0,R,1st Round
20250114,Hard,G,5,Lorenzo Sonego,Stan Wawrinka,132283,104527,55,156,29.68104038329911,191.0,R,39.800136892539356,183.0,R,1st Round
20250114,Hard,G,5,Pablo Carreno Busta,Kamil Majchrzak,105807,111794,182,122,33.51129363449692,188.0,R,29.00479123887748,180.0,R,1st Round
20250114,Hard,G,5,Denis Shapovalov,Roberto Bautista Agut,133430,105138,56,53,25.752224503764545,185.0,L,36.75290896646133,183.0,R,1st Round
20250114,Hard,G,5,Corentin Moutet,Alexei Popyrin,144895,200615,69,24,25.741273100616016,180.0,L,25.44558521560575,196.0,R,1st Round
20250114,Hard,G,5,Tomas Martin Etcheverry,Flavio Cobolli,144869,207925,38,32,25.49486652977413,196.0,R,22.694045174537987,183.0,R,1st Round
20250114,Hard,G,5,Mitchell Krueger,Rinky Hijikata,106283,208014,146,72,31.006160164271048,188.0,R,23.890485968514717,178.0,R,1st Round
20250114,Hard,G,5,Tristan Boyer,Federico Coria,207729,105948,136,96,23.734428473648187,188.0,R,32.851471594798085,180.0,R,1st Round
20250114,Hard,G,5,Marcos Giron,Yannick Hanfmann,106218,105870,46,95,31.477070499657767,180.0,R,33.17180013689254,193.0,R,1st Round
20250114,Hard,G,5,Alex De Minaur,Botic Van De Zandschulp,200282,122298,8,84,25.908281998631075,183.0,R,29.281314168377822,191.0,R,1st Round
20250115,Hard,G,5,Arthur Fils,Quentin Halys,209950,111460,21,74,20.594113620807665,185.0,R,28.2217659137577,191.0,R,2nd Round
20250115,Hard,G,5,Novak Djokovic,Jaime Faria,104925,210262,7,125,37.65366187542779,188.0,R,21.44558521560575,188.0,R,2nd Round
20250115,Hard,G,5,Roberto Carballes Baena,James Duckworth,106148,105902,57,89,31.81656399726215,183.0,R,32.98562628336756,183.0,R,2nd Round
20250115,Hard,G,5,Carlos Alcaraz,Yoshihito Nishioka,207989,106415,3,65,21.700205338809035,183.0,R,29.30321697467488,170.0,L,2nd Round
20250115,Hard,G,5,Tomas Machac,Reilly Opelka,207830,124187,25,170,24.257357973990416,183.0,R,27.38398357289528,211.0,R,2nd Round
20250115,Hard,G,5,Nuno Borges,James Thompson,132686,107270,33,27,27.904175222450377,185.0,R,,,R,2nd Round
20250115,Hard,G,5,Benjamin Bonzi,Francesco Passaro,126127,208859,64,104,28.602327173169062,183.0,R,24.021902806297057,180.0,R,2nd Round
20250115,Hard,G,5,Todd Paul,Kei Nishikori,104652,105453,11,76,39.05544147843943,180.0,L,35.04722792607803,178.0,R,2nd Round
20250115,Hard,G,5,Aleksandar Vukic,Sebastian Korda,126846,200624,68,22,28.777549623545518,188.0,R,24.531143052703626,196.0,R,2nd Round
20250115,Hard,G,5,Jacob Fearnley,Arthur Cazaux,207985,209070,92,78,23.50444900752909,183.0,R,22.39835728952772,183.0,R,2nd Round
20250115,Hard,G,5,Jakub Mensik,Christian Ruud,210084,102104,48,6,19.37303216974675,,U,52.394250513347025,188.0,R,2nd Round
20250115,Hard,G,5,Jose Maria Draper,Thanasi Kokkinakis,117272,106423,18,71,,,U,28.76659822039699,193.0,R,2nd Round
20250115,Hard,G,5,Alejandro Davidovich Fokina,Felix Auger Aliassime,200221,200000,66,23,25.61533196440794,183.0,R,24.438056125941138,193.0,R,2nd Round
20250115,Hard,G,5,Ugo Humbert,Hady Habib,200005,200273,14,219,26.55715263518138,188.0,L,26.403832991101986,188.0,R,2nd Round
20250115,Hard,G,5,Alexander Zverev,Pablo Martinez,100644,103492,2,44,27.73990417522245,198.0,R,45.002053388090346,,R,2nd Round
20250116,Hard,G,5,Taylor Fritz,Cristian Garin,126203,106426,4,150,27.21971252566735,196.0,R,28.632443531827516,185.0,R,2nd Round
20250116,Hard,G,5,Learner Tien,Daniil Medvedev,210530,106421,121,5,19.123887748117728,180.0,L,28.930869267624914,198.0,R,2nd Round
20250116,Hard,G,5,Jannik Sinner,Tristan Schoolkate,206173,209262,1,173,23.419575633127995,191.0,R,23.887748117727583,183.0,R,2nd Round
20250116,Hard,G,5,Holger Rune,Matteo Berrettini,208029,126610,13,34,21.71937029431896,188.0,R,28.763860369609855,196.0,R,2nd Round
20250116,Hard,G,5,Lorenzo Sonego,Joshua Fonseca,132283,128159,55,112,29.686516084873375,191.0,R,42.20670773442848,,U,2nd Round
20250116,Hard,G,5,Fabian Marozsan,Frances Tiafoe,206681,126207,59,16,25.27583846680356,193.0,R,26.989733059548254,188.0,R,2nd Round
20250116,Hard,G,5,Alex Michelsen,Jim Mccabe,210506,147511,42,258,20.39425051334702,193.0,R,,,U,2nd Round
20250116,Hard,G,5,Marcos Giron,Tomas Martin Etcheverry,106218,144869,46,38,31.482546201232033,180.0,R,25.50034223134839,196.0,R,2nd Round
20250116,Hard,G,5,Alex De Minaur,Tristan Boyer,200282,207729,8,136,25.913757700205338,183.0,R,23.73990417522245,188.0,R,2nd Round
20250116,Hard,G,5,Lorenzo Musetti,Denis Shapovalov,207518,133430,15,56,22.874743326488705,185.0,R,25.75770020533881,185.0,L,2nd Round
20250116,Hard,G,5,Karen Khachanov,Gabriel Diallo,111575,209113,19,86,28.657084188911703,198.0,R,23.312799452429843,203.0,R,2nd Round
20250116,Hard,G,5,Miomir Kecmanovic,Hubert Hurkacz,200175,128034,51,17,25.37987679671458,183.0,R,27.928815879534564,196.0,R,2nd Round
20250116,Hard,G,5,Corentin Moutet,Mitchell Krueger,144895,106283,69,146,25.746748802190282,180.0,L,31.01163586584531,188.0,R,2nd Round
20250116,Hard,G,5,Bryan Shelton,Pablo Carreno Busta,101214,105807,20,182,59.069130732375086,185.0,R,33.516769336071185,188.0,R,2nd Round
20250116,Hard,G,5,Gael Monfils,Daniel Altmaier,104792,127157,41,101,38.37645448323067,193.0,R,26.34633812457221,188.0,R,2nd Round
20250117,Hard,G,5,Carlos Alcaraz,Nuno Borges,207989,132686,3,33,21.7056810403833,183.0,R,27.90965092402464,185.0,R,3rd Round
20250117,Hard,G,5,Novak Djokovic,Tomas Machac,104925,207830,7,25,37.659137577002056,188.0,R,24.262833675564682,183.0,R,3rd Round
20250117,Hard,G,5,Todd Paul,Roberto Carballes Baena,104652,106148,11,57,39.06091718001369,180.0,L,31.822039698836413,183.0,R,3rd Round
20250117,Hard,G,5,Jose Maria Draper,Aleksandar Vukic,117272,126846,18,68,,,U,28.78302532511978,188.0,R,3rd Round
20250117,Hard,G,5,Jiri Lehecka,Benjamin Bonzi,208103,126127,29,64,23.19233401779603,185.0,R,28.607802874743328,183.0,R,3rd Round
20250117,Hard,G,5,Alexander Zverev,Jacob Fearnley,100644,207985,2,92,27.745379876796715,198.0,R,23.509924709103355,183.0,R,3rd Round
20250117,Hard,G,5,Alejandro Davidovich Fokina,Jakub Mensik,200221,210084,66,48,25.620807665982205,183.0,R,19.378507871321013,,U,3rd Round
20250118,Hard,G,5,Alex Michelsen,Karen Khachanov,210506,111575,42,19,20.399726214921287,193.0,R,28.66255989048597,198.0,R,3rd Round
20250118,Hard,G,5,Gael Monfils,Taylor Fritz,104792,126203,41,4,38.38193018480493,193.0,R,27.225188227241617,196.0,R,3rd Round
20250118,Hard,G,5,Jannik Sinner,Marcos Giron,206173,106218,1,46,23.42505133470226,191.0,R,31.488021902806295,180.0,R,3rd Round
20250118,Hard,G,5,Lorenzo Sonego,Fabian Marozsan,132283,206681,55,59,29.691991786447637,191.0,R,25.281314168377822,193.0,R,3rd Round
20250118,Hard,G,5,Alex De Minaur,Francisco Cerundolo,200282,202103,8,31,25.919233401779604,183.0,R,26.43394934976044,185.0,R,3rd Round
20250118,Hard,G,5,Bryan Shelton,Lorenzo Musetti,101214,207518,20,15,59.07460643394935,185.0,R,22.88021902806297,185.0,R,3rd Round
20250118,Hard,G,5,Learner Tien,Corentin Moutet,210530,144895,121,69,19.129363449691994,180.0,L,25.752224503764545,180.0,L,3rd Round
20250118,Hard,G,5,Holger Rune,Miomir Kecmanovic,208029,200175,13,51,21.724845995893222,188.0,R,25.385352498288842,183.0,R,3rd Round
20250119,Hard,G,5,Todd Paul,Alejandro Davidovich Fokina,104652,200221,11,66,39.06639288158795,180.0,L,25.626283367556468,183.0,R,4th Round
20250119,Hard,G,5,Alexander Zverev,Ugo Humbert,100644,200005,2,14,27.750855578370977,198.0,R,26.56810403832991,188.0,L,4th Round
20250119,Hard,G,5,Novak Djokovic,Jiri Lehecka,104925,208103,7,29,37.66461327857632,188.0,R,23.197809719370294,185.0,R,4th Round
20250120,Hard,G,5,Jannik Sinner,Holger Rune,206173,208029,1,13,23.430527036276523,191.0,R,21.730321697467488,188.0,R,4th Round
